date,data_src,class,order,family,genus_species,length_m,mature_age,longevity,lat_range,long_range,trophic_level
2013-02-01,fph,Actinopterygii,Stomiiformes,Phosichthyidae,Polymetme corythaeola,0.26,0.7,2.3,94.7341,265,4.4
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Cynoglossidae,Symphurus arawak,0.051,0.8,2,7.4938,26,NA
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Cynoglossidae,Symphurus normani,0.7,5.4,23.9,6.9409,2,NA
2013-02-01,fph,Actinopterygii,Anguilliformes,Ophichthidae,Ophichthus frontalis,0.86,2.5,11.1,32.77,36,NA
2013-02-01,fph,Actinopterygii,Perciformes,Carangidae,Ulua mentalis,1,3,13.7,45.8517,109,3.7
2013-02-01,fph,Holocephali,Chimaeriformes,Rhinochimaeridae,Rhinochimaera pacifica,1.3,0.1,0,NA,NA,NA
2013-02-01,fph,Actinopterygii,Gadiformes,Macrouridae,Nezumia longebarbata,0.405,3.2,12.9,69.6016,87,NA
2013-02-01,fph,Actinopterygii,Gadiformes,Macrouridae,Nezumia loricata,0.3,2.6,9.8,NA,NA,NA
2013-02-01,fph,Actinopterygii,Siluriformes,Ariidae,Netuma proxima,0.46,3.9,15.8,12.42,30,4
2013-02-01,fph,Actinopterygii,Syngnathiformes,Centriscidae,Centriscops humerosus,0.3,3.1,11.8,25.6959,335,3.6
2013-02-01,fph,Actinopterygii,Perciformes,Monodactylidae,Schuettea woodwardi,0.24,0.1,0,9.9,34,NA
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Notolabrus celidotus,0.239,2.1,7.6,17.4667,19,3.3
2013-02-01,fph,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon ellipticum,0.27,3.2,11.4,14.6775,6,NA
2013-02-01,fph,Actinopterygii,Perciformes,Embiotocidae,Phanerodon furcatus,0.32,2.1,7.7,18.6058,11,NA
2013-02-01,fph,Actinopterygii,Perciformes,Callionymidae,Callionymus filamentosus,0.2,1.7,5.9,59.8334,95,3.3
2013-02-01,fph,Actinopterygii,Perciformes,Clinidae,Heterostichus rostratus,0.61,1.1,4.3,5.8455,3,3.9
2013-02-01,fph,Actinopterygii,Perciformes,Apogonidae,Apogon imberbis,0.15,1,3.1,NA,NA,3.9
2013-02-01,fph,Actinopterygii,Perciformes,Lethrinidae,Lethrinus enigmaticus,0.55,4.5,19.2,23.29467,30,3.8
2013-02-01,fph,Actinopterygii,Perciformes,Lutjanidae,Lutjanus quinquelineatus,0.38,2.5,9.2,56.3,100,3.6
2013-02-01,fph,Actinopterygii,Perciformes,Lutjanidae,Lutjanus viridis,0.3,1.6,5.9,36.375,43,4.2
2013-02-01,fph,Actinopterygii,Tetraodontiformes,Balistidae,Rhinecanthus aculeatus,0.3,1.9,7.1,57.9733,213,3.3
2013-02-01,fph,Actinopterygii,Beryciformes,Holocentridae,Neoniphon marianus,0.18,0.9,2.9,21.2504,39,3.6
2013-02-01,fph,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax porphyreus,0.34600000000000003,0.1,0,33.33,76,NA
